z,gmo,dodecane,total
0.0,0.0,0.0,0.0
0.5,-7e-08,0.0,-7e-08
1.0,-3.05e-07,4e-08,-2.65e-07
1.5,-3.5999999999999994e-07,1.9499999999999999e-07,-1.6499999999999996e-07
2.0,-4.1e-07,6.949999999999999e-07,2.849999999999999e-07
2.5,5.999999999999985e-08,1.125e-06,1.1849999999999999e-06
3.0,1.415e-06,1.485e-06,2.9e-06
3.5,1.715e-06,1.43e-06,3.1450000000000004e-06
4.0,1.3150000000000001e-06,1.44e-06,2.755e-06
4.5,1.5000000000000005e-07,1.115e-06,1.265e-06
5.0,-4.3500000000000023e-07,7.95e-07,3.599999999999998e-07
5.5,-4.699999999999998e-07,6e-07,1.3000000000000018e-07
6.0,-4.100000000000001e-07,6.3e-07,2.199999999999999e-07
6.5,-2.399999999999999e-07,8.450000000000001e-07,6.050000000000001e-07
7.0,9.999999999999968e-08,1.15e-06,1.2499999999999997e-06
7.5,5.600000000000002e-07,1.3399999999999999e-06,1.9e-06
8.0,7.150000000000001e-07,1.4499999999999999e-06,2.165e-06
8.5,4.749999999999998e-07,1.425e-06,1.8999999999999996e-06
9.0,1.749999999999999e-07,1.34e-06,1.515e-06
9.5,-3.9999999999999935e-08,1.2250000000000001e-06,1.185e-06
10.0,-1.2500000000000023e-07,1.175e-06,1.0499999999999997e-06
10.5,-6.99999999999998e-08,1.235e-06,1.1650000000000003e-06
11.0,1.4999999999999803e-08,1.4e-06,1.4149999999999998e-06
11.5,2.15e-07,1.565e-06,1.7800000000000001e-06
12.0,3.600000000000001e-07,1.73e-06,2.09e-06
12.5,4.000000000000002e-07,1.795e-06,2.195e-06
13.0,2.999999999999999e-07,1.8249999999999999e-06,2.125e-06
13.5,1.6999999999999985e-07,1.82e-06,1.9899999999999996e-06
14.0,1.0499999999999995e-07,1.8000000000000001e-06,1.905e-06
14.5,7.499999999999992e-08,1.8650000000000001e-06,1.94e-06
15.0,9.00000000000002e-08,1.9749999999999997e-06,2.0649999999999997e-06
15.5,1.3999999999999982e-07,2.185e-06,2.3249999999999998e-06
16.0,1.8500000000000003e-07,2.3600000000000003e-06,2.545e-06
16.5,2.399999999999998e-07,2.56e-06,2.8e-06
17.0,2.550000000000001e-07,2.69e-06,2.945e-06
17.5,2.0000000000000004e-07,2.7950000000000003e-06,2.9950000000000005e-06
18.0,1.3999999999999982e-07,2.835e-06,2.975e-06
18.5,1.1000000000000009e-07,2.87e-06,2.9800000000000003e-06
19.0,7.500000000000008e-08,2.93e-06,3.005e-06
19.5,7.999999999999992e-08,3.0700000000000003e-06,3.1500000000000003e-06
20.0,8.999999999999999e-08,3.18e-06,3.27e-06
20.5,1.349999999999999e-07,3.2999999999999997e-06,3.4349999999999997e-06
21.0,1.3000000000000005e-07,3.485e-06,3.615e-06
21.5,1.2500000000000002e-07,3.5800000000000005e-06,3.7050000000000005e-06
22.0,1.0999999999999995e-07,3.6999999999999997e-06,3.8099999999999995e-06
22.5,8.499999999999998e-08,3.78e-06,3.864999999999999e-06
23.0,5.999999999999993e-08,3.885e-06,3.945e-06
23.5,4.000000000000004e-08,3.98e-06,4.0200000000000005e-06
24.0,1.9999999999999967e-08,4.125e-06,4.145e-06
24.5,2.499999999999992e-08,4.265e-06,4.29e-06
25.0,3.0000000000000004e-08,4.4e-06,4.43e-06
25.5,1.4999999999999936e-08,4.5500000000000005e-06,4.565e-06
26.0,2.499999999999996e-08,4.655e-06,4.68e-06
26.5,1.9999999999999954e-08,4.76e-06,4.78e-06
27.0,5.000000000000005e-09,4.865e-06,4.87e-06
27.5,-5.293955920339377e-23,4.98e-06,4.98e-06
28.0,-5.000000000000058e-09,5.02e-06,5.015e-06
28.5,-4.999999999999992e-09,5.125e-06,5.12e-06
29.0,2.6469779601696886e-23,5.225e-06,5.225e-06
29.5,5.0000000000000315e-09,5.355e-06,5.36e-06
30.0,-5.000000000000025e-09,5.474999999999999e-06,5.469999999999999e-06
30.5,-9.99999999999997e-09,5.5399999999999995e-06,5.5299999999999996e-06
31.0,-1.0000000000000023e-08,5.6e-06,5.59e-06
31.5,-2.999999999999999e-08,5.66e-06,5.63e-06
32.0,-2.9999999999999984e-08,5.734999999999999e-06,5.705e-06
32.5,-2.4999999999999972e-08,5.815e-06,5.7900000000000005e-06
33.0,-2.000000000000002e-08,5.845e-06,5.825e-06
33.5,-1.499999999999999e-08,5.94e-06,5.925e-06
34.0,-2.4999999999999972e-08,5.98e-06,5.955000000000001e-06
34.5,-2.5e-08,6.04e-06,6.015e-06
35.0,-1.5000000000000015e-08,6.065e-06,6.0500000000000005e-06
35.5,-1.499999999999999e-08,6.075e-06,6.0600000000000004e-06
36.0,-1.499999999999999e-08,6.125000000000001e-06,6.110000000000001e-06
36.5,-1.499999999999999e-08,6.15e-06,6.1350000000000006e-06
37.0,-1.000000000000001e-08,6.174999999999999e-06,6.164999999999999e-06
37.5,-9.999999999999997e-09,6.21e-06,6.2e-06
38.0,-5.000000000000005e-09,6.264999999999999e-06,6.259999999999999e-06
38.5,-1.5000000000000002e-08,6.3100000000000006e-06,6.295000000000001e-06
39.0,-9.999999999999997e-09,6.279999999999999e-06,6.269999999999999e-06
39.5,-5.000000000000005e-09,6.315e-06,6.31e-06
40.0,-4.9999999999999985e-09,6.3200000000000005e-06,6.3150000000000005e-06
40.5,-9.999999999999997e-09,6.36e-06,6.35e-06
41.0,-9.999999999999997e-09,6.354999999999999e-06,6.344999999999999e-06
41.5,-5.000000000000005e-09,6.370000000000001e-06,6.365000000000001e-06
42.0,-4.9999999999999985e-09,6.435e-06,6.43e-06
42.5,-9.999999999999997e-09,6.42e-06,6.4100000000000005e-06
43.0,0.0,6.43e-06,6.43e-06
43.5,-5.000000000000002e-09,6.415e-06,6.4100000000000005e-06
44.0,0.0,6.425e-06,6.425e-06
44.5,0.0,6.415e-06,6.415e-06
45.0,-5e-09,6.43e-06,6.425e-06
45.5,-1e-08,6.44e-06,6.43e-06
46.0,-5e-09,6.445e-06,6.44e-06
46.5,0.0,6.46e-06,6.46e-06
47.0,0.0,6.47e-06,6.47e-06
47.5,0.0,6.485e-06,6.485e-06
48.0,0.0,6.45e-06,6.45e-06
48.5,0.0,6.455e-06,6.455e-06
49.0,0.0,6.485e-06,6.485e-06
49.5,0.0,6.46e-06,6.46e-06
50.0,0.0,6.49e-06,6.49e-06
50.5,0.0,6.475e-06,6.475e-06
51.0,0.0,6.49e-06,6.49e-06
51.5,0.0,6.46e-06,6.46e-06
52.0,0.0,6.455e-06,6.455e-06
52.5,0.0,6.455e-06,6.455e-06
53.0,0.0,6.44e-06,6.44e-06
53.5,0.0,6.46e-06,6.46e-06
54.0,0.0,6.47e-06,6.47e-06
54.5,0.0,6.470000000000001e-06,6.470000000000001e-06
55.0,0.0,6.49e-06,6.49e-06
55.5,0.0,6.45e-06,6.45e-06
56.0,0.0,6.46e-06,6.46e-06
56.5,0.0,6.455e-06,6.455e-06
57.0,0.0,6.47e-06,6.47e-06
57.5,0.0,6.445e-06,6.445e-06
58.0,0.0,6.5e-06,6.5e-06
58.5,0.0,6.455e-06,6.455e-06
59.0,0.0,6.475e-06,6.475e-06
59.5,0.0,6.47e-06,6.47e-06
60.0,0.0,6.445e-06,6.445e-06
60.5,0.0,6.48e-06,6.48e-06
